file	all	nonSym	cladeC	cladeD
SRR1812225_symbCounts.tsv	3189137	2311634	485	7726	721479	147813
SRR1812226_symbCounts.tsv	3067404	2478020	359	5695	515112	68218
SRR1812227_symbCounts.tsv	2810136	2052137	462	8273	746642	2622
SRR1812228_symbCounts.tsv	3846114	3430719	357	1431	3405	410202
SRR1812229_symbCounts.tsv	3220131	2264133	414	9132	944072	2380
SRR1812230_symbCounts.tsv	3580036	2861253	458	1872	3502	712951
SRR1812231_symbCounts.tsv	2921991	2281635	381	6647	629997	3331
SRR1812232_symbCounts.tsv	3769532	2650911	432	9945	1103186	5058
SRR1812233_symbCounts.tsv	3000599	2337516	410	6016	504068	152589
SRR1812234_symbCounts.tsv	2916491	2080949	487	7474	658362	169219
SRR1812235_symbCounts.tsv	2889840	2286076	377	5855	520428	77104
SRR1812236_symbCounts.tsv	3378127	2214422	497	10867	1149458	2883
SRR1812237_symbCounts.tsv	3028187	2307519	425	1750	3979	714514
SRR1812238_symbCounts.tsv	2980272	2352176	344	6855	618239	2658
SRR1812239_symbCounts.tsv	2672301	2095788	343	1491	3293	571386
SRR1812240_symbCounts.tsv	2520781	1925415	432	6366	582596	5972
SRR1812241_symbCounts.tsv	2607222	1606637	427	9322	987665	3171
SRR1812242_symbCounts.tsv	3459299	2770797	423	1701	4623	681755
SRR1812243_symbCounts.tsv	2553464	1950751	468	1742	3484	597019
SRR1812244_symbCounts.tsv	3072800	2704919	296	1130	2962	363493
SRR1812245_symbCounts.tsv	3458202	3173894	192	970	2966	280180
SRR1812246_symbCounts.tsv	3223724	2821176	308	1209	4484	396547
SRR1812247_symbCounts.tsv	3650057	2822115	431	6646	625540	195325
SRR1812248_symbCounts.tsv	1649821	1309722	365	1233	4490	334011
SRR1812249_symbCounts.tsv	2973288	2321598	397	1743	25750	623800
SRR1812250_symbCounts.tsv	3122807	2515250	472	1575	3397	602113
SRR1812251_symbCounts.tsv	2807966	2119410	752	1941	3375	682488
SRR1812252_symbCounts.tsv	4039184	3247989	403	1787	7535	781470
SRR1812253_symbCounts.tsv	2601166	2130233	401	1387	3993	465152
SRR1812254_symbCounts.tsv	3327751	2691589	591	1816	4281	629474
SRR1812255_symbCounts.tsv	2570757	2298899	775	1241	4539	265303
SRR1812256_symbCounts.tsv	2758147	2276864	274	1296	4490	475223
SRR1812257_symbCounts.tsv	3089598	2404730	384	5692	528224	150568
SRR1812258_symbCounts.tsv	3012448	1979414	553	2050	4605	1025826
SRR1812259_symbCounts.tsv	2715997	1977931	577	3230	175639	558620
SRR1812260_symbCounts.tsv	4312648	3289856	817	2252	7230	1012493
SRR1812261_symbCounts.tsv	2594908	1832854	571	2277	5109	754097
SRR1812262_symbCounts.tsv	3798393	3222194	474	5434	473972	96319
SRR1812263_symbCounts.tsv	2810489	2241893	379	6053	518723	43441
SRR1812264_symbCounts.tsv	3607182	2895813	452	6201	555615	149101
SRR1812265_symbCounts.tsv	3698983	2917598	401	1750	9170	770064
SRR1812266_symbCounts.tsv	3405362	2858048	444	1572	3455	541843
SRR1812267_symbCounts.tsv	2520968	1923297	383	6658	586573	4057
SRR1812268_symbCounts.tsv	4570802	3663223	444	9128	893098	4909
SRR1812269_symbCounts.tsv	3543038	2857082	378	7046	674635	3897
SRR1812270_symbCounts.tsv	3252627	2156658	534	10195	1045606	39634
SRR1812271_symbCounts.tsv	3493498	2533519	462	6543	660361	292613
SRR1812272_symbCounts.tsv	2681000	2277859	336	4372	341189	57244
SRR1812273_symbCounts.tsv	3014373	2399059	382	4281	359767	250884
SRR1812274_symbCounts.tsv	2529990	2325072	709	1107	2552	200550
SRR1812275_symbCounts.tsv	3570076	2930566	333	1431	4781	632965
SRR1812276_symbCounts.tsv	3647297	2499716	588	11038	1132458	3497
SRR1812277_symbCounts.tsv	3335522	2707326	327	6102	618361	3406
SRR1812278_symbCounts.tsv	2955685	2273402	423	6975	672888	1997
SRR1812279_symbCounts.tsv	3352044	2738837	645	6189	569963	36410
SRR1812280_symbCounts.tsv	3033542	2515466	321	1449	3908	512398
SRR1812281_symbCounts.tsv	3001378	2203281	434	1797	4315	791551
SRR1812282_symbCounts.tsv	3043405	2563546	282	1271	3082	475224
SRR1812283_symbCounts.tsv	3603512	3272249	420	1325	3406	326112
SRR1812284_symbCounts.tsv	2524767	2161790	348	1286	2945	358398
SRR1812285_symbCounts.tsv	3410351	2750377	364	6624	649994	2992
SRR1812286_symbCounts.tsv	3296230	2621802	487	1622	3992	668327
SRR1812287_symbCounts.tsv	2961688	2356376	350	1427	3315	600220
SRR1812288_symbCounts.tsv	2590642	1965846	394	1555	3797	619050
SRR1812289_symbCounts.tsv	2807284	2222564	358	1416	3168	579778
SRR1812290_symbCounts.tsv	1000123	750165	198	853	2093	246814
SRR1812291_symbCounts.tsv	2931058	2306670	374	1578	5328	617108
SRR1812292_symbCounts.tsv	3236439	2674240	1442	1742	4406	554609
SRR1812293_symbCounts.tsv	2672340	2323247	389	1122	4245	343337
SRR1812294_symbCounts.tsv	2780508	1805697	388	1826	5795	966802
SRR1812295_symbCounts.tsv	2327387	1890079	522	4086	430218	2482
SRR1812296_symbCounts.tsv	3607642	2600406	442	1968	6366	998460
SRR1812297_symbCounts.tsv	3886452	2982234	407	1759	4671	897381
SRR1812298_symbCounts.tsv	3136490	2284619	406	1681	3656	846128
SRR1812299_symbCounts.tsv	3757743	3017393	362	1586	4429	733973
SRR1812300_symbCounts.tsv	2241780	1886456	388	3535	246565	104836
SRR1812301_symbCounts.tsv	2730618	2173934	504	5665	439122	111393
SRR1812302_symbCounts.tsv	3134183	2522802	383	5774	523159	82065
SRR1812303_symbCounts.tsv	2568143	2051399	346	5785	506234	4379
SRR1812304_symbCounts.tsv	3338359	2561190	479	1813	4071	770806
SRR1812305_symbCounts.tsv	2821024	2257647	337	5823	554069	3148
SRR1812306_symbCounts.tsv	2459454	2120255	418	1357	3615	333809
SRR1812307_symbCounts.tsv	3556294	2748612	477	8004	734116	65085
SRR1812308_symbCounts.tsv	2796057	2218105	344	6111	569193	2304
SRR1812309_symbCounts.tsv	3362375	2870909	357	4583	365672	120854
SRR1812310_symbCounts.tsv	2728059	2118451	424	4772	368905	235507
SRR1812311_symbCounts.tsv	3518620	2859755	565	5793	523506	129001
SRR1812312_symbCounts.tsv	2613488	1759600	522	8317	838800	6249
SRR1812313_symbCounts.tsv	3078947	2543724	376	1434	2988	530425
SRR1812314_symbCounts.tsv	2591500	1975170	374	6337	606907	2712
SRR1812315_symbCounts.tsv	2336436	1843858	381	1512	3148	487537
SRR1812316_symbCounts.tsv	2760348	2310610	340	5106	440771	3521
SRR1812317_symbCounts.tsv	2799127	2023885	684	7987	760417	6154
SRR1929581_symbCounts.tsv	447820	434349	55	303	13004	109
SRR1929582_symbCounts.tsv	430639	416491	50	277	13727	94
SRR1929583_symbCounts.tsv	285135	280542	24	156	4336	77
SRR1929584_symbCounts.tsv	589971	547868	77	581	41316	129
SRR1929585_symbCounts.tsv	331916	310850	54	363	20551	98
SRR1929586_symbCounts.tsv	343179	317449	52	433	25143	102
SRR1929587_symbCounts.tsv	245823	233144	42	277	12276	84
SRR1929588_symbCounts.tsv	256089	247541	22	176	8274	76
SRR1929589_symbCounts.tsv	224813	212399	30	269	12021	94
SRR1929590_symbCounts.tsv	434259	383933	60	628	49520	118
SRR1929591_symbCounts.tsv	441768	396960	66	588	44030	124
SRR1929592_symbCounts.tsv	570285	521440	71	643	47993	138
SRR1929593_symbCounts.tsv	238167	204808	54	532	32637	136
SRR1929594_symbCounts.tsv	220430	199447	42	365	20449	127
SRR1929595_symbCounts.tsv	196404	174168	58	402	21585	191
SRR1929596_symbCounts.tsv	522903	461364	95	735	60459	250
SRR1929597_symbCounts.tsv	649900	567068	113	942	81524	253
SRR1929598_symbCounts.tsv	797518	728347	117	854	67947	253
SRR1929599_symbCounts.tsv	290525	261377	66	508	28443	131
SRR1929600_symbCounts.tsv	319717	297895	33	404	21262	123
SRR1929601_symbCounts.tsv	317841	291558	38	436	25685	124
SRR1929602_symbCounts.tsv	640446	590504	74	689	49021	158
SRR1929603_symbCounts.tsv	596342	534706	75	770	60588	203
SRR1929604_symbCounts.tsv	549713	504199	70	678	44577	189
SRR3095777_symbCounts.tsv	20737918	15008713	500	33969	5691150	3586
SRR3095778_symbCounts.tsv	20099201	14937811	509	30889	5126974	3018
