cladeB_244	comp579_c0_seq1
cladeB_245	comp580_c0_seq1
cladeB_246	comp582_c0_seq1
cladeB_247	comp585_c0_seq1
cladeB_248	comp591_c0_seq1
cladeB_249	comp598_c0_seq1
cladeB_250	comp599_c0_seq1
cladeB_251	comp601_c0_seq1
cladeB_252	comp603_c0_seq1
cladeB_253	comp605_c0_seq1
cladeB_254	comp606_c0_seq1
cladeB_255	comp608_c0_seq1
cladeB_256	comp609_c0_seq1
cladeB_257	comp611_c0_seq1
cladeB_258	comp612_c0_seq1
cladeB_259	comp613_c0_seq1
cladeB_260	comp614_c0_seq2
cladeB_261	comp616_c0_seq1
cladeB_262	comp618_c0_seq1
cladeB_263	comp620_c0_seq1
cladeB_264	comp622_c0_seq1
cladeB_265	comp624_c0_seq1
cladeB_266	comp627_c0_seq1
cladeB_267	comp629_c0_seq1
cladeB_268	comp630_c0_seq1
cladeB_269	comp631_c0_seq1
cladeB_270	comp635_c0_seq1
cladeB_271	comp637_c0_seq1
cladeB_272	comp638_c0_seq1
cladeB_273	comp641_c0_seq1
cladeB_274	comp642_c0_seq1
cladeB_275	comp643_c0_seq1
cladeB_276	comp648_c0_seq1
cladeB_277	comp649_c0_seq1
cladeB_278	comp650_c0_seq1
cladeB_279	comp651_c0_seq1
cladeB_280	comp652_c0_seq1
cladeB_281	comp654_c0_seq1
cladeB_282	comp658_c0_seq1
cladeB_283	comp667_c0_seq1
cladeB_284	comp668_c0_seq1
cladeB_285	comp671_c0_seq1
cladeB_286	comp674_c0_seq1
cladeB_287	comp675_c0_seq1
cladeB_288	comp676_c0_seq1
cladeB_289	comp678_c0_seq1
cladeB_290	comp682_c0_seq1
cladeB_291	comp686_c0_seq1
cladeB_292	comp691_c0_seq1
cladeB_293	comp692_c0_seq1
cladeB_294	comp693_c0_seq1
cladeB_295	comp694_c0_seq1
cladeB_296	comp696_c0_seq1
cladeB_297	comp697_c0_seq1
cladeB_298	comp698_c0_seq1
cladeB_299	comp702_c0_seq1
cladeB_300	comp703_c0_seq1
cladeB_301	comp706_c0_seq1
cladeB_302	comp707_c0_seq1
cladeB_303	comp710_c0_seq1
