my_title,Run,my_stage,Organism,treat,treatDescription,special,bleached,stress
k1_Seneca2015_PRJNA274342,SRR1812249,adult,Acropora hyacinthus,control,X110_4_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274343,SRR1812250,adult,Acropora hyacinthus,control,X112_7_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274344,SRR1812251,adult,Acropora hyacinthus,control,X114_88_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274345,SRR1812252,adult,Acropora hyacinthus,heat,X152_86_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274346,SRR1812253,adult,Acropora hyacinthus,heat,X142_6_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274347,SRR1812254,adult,Acropora hyacinthus,heat,X90_27_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274348,SRR1812255,adult,Acropora hyacinthus,heat,X94_87_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274349,SRR1812256,adult,Acropora hyacinthus,heat,X98_83_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274350,SRR1812257,adult,Acropora hyacinthus,heat,X100_85_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274351,SRR1812258,adult,Acropora hyacinthus,heat,X122_75_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274352,SRR1812259,adult,Acropora hyacinthus,heat,X124_4_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274353,SRR1812260,adult,Acropora hyacinthus,heat,X126_7_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274354,SRR1812261,adult,Acropora hyacinthus,heat,X128_88_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274355,SRR1812262,adult,Acropora hyacinthus,control,X79_102_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274356,SRR1812263,adult,Acropora hyacinthus,control,X131_70_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274357,SRR1812264,adult,Acropora hyacinthus,control,X83_28_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274358,SRR1812265,adult,Acropora hyacinthus,control,X85_11_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274359,SRR1812266,adult,Acropora hyacinthus,control,X101_89_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274360,SRR1812267,adult,Acropora hyacinthus,control,X133_65_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274361,SRR1812268,adult,Acropora hyacinthus,control,X103_68_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274362,SRR1812269,adult,Acropora hyacinthus,control,X105_64_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274363,SRR1812270,adult,Acropora hyacinthus,control,X135_40_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274364,SRR1812271,adult,Acropora hyacinthus,heat,X91_102_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274365,SRR1812272,adult,Acropora hyacinthus,heat,X143_70_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274366,SRR1812273,adult,Acropora hyacinthus,heat,X95_28_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274367,SRR1812274,adult,Acropora hyacinthus,heat,X97_11_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274368,SRR1812275,adult,Acropora hyacinthus,heat,X115_89_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274369,SRR1812276,adult,Acropora hyacinthus,heat,X145_65_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274370,SRR1812277,adult,Acropora hyacinthus,heat,X117_68_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274371,SRR1812278,adult,Acropora hyacinthus,heat,X119_64_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274372,SRR1812279,adult,Acropora hyacinthus,heat,X147_40_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274373,SRR1812280,adult,Acropora hyacinthus,control,X139_86_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274374,SRR1812281,adult,Acropora hyacinthus,control,X129_6_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274375,SRR1812282,adult,Acropora hyacinthus,control,X77_27_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274376,SRR1812283,adult,Acropora hyacinthus,control,X81_87_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274377,SRR1812284,adult,Acropora hyacinthus,control,X137_83_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274378,SRR1812285,adult,Acropora hyacinthus,control,X87_85_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274379,SRR1812286,adult,Acropora hyacinthus,control,X107_75_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274380,SRR1812287,adult,Acropora hyacinthus,control,X109_4_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274381,SRR1812288,adult,Acropora hyacinthus,control,X111_7_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274382,SRR1812289,adult,Acropora hyacinthus,control,X113_88_400_c_20h,none,yes,control
k1_Seneca2015_PRJNA274383,SRR1812290,adult,Acropora hyacinthus,heat,X151_86_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274384,SRR1812291,adult,Acropora hyacinthus,heat,X141_6_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274385,SRR1812292,adult,Acropora hyacinthus,heat,X89_27_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274386,SRR1812293,adult,Acropora hyacinthus,heat,X93_87_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274387,SRR1812294,adult,Acropora hyacinthus,heat,X149_83_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274388,SRR1812295,adult,Acropora hyacinthus,heat,X99_85_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274389,SRR1812296,adult,Acropora hyacinthus,heat,X121_75_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274390,SRR1812297,adult,Acropora hyacinthus,heat,X123_4_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274391,SRR1812298,adult,Acropora hyacinthus,heat,X125_7_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274392,SRR1812299,adult,Acropora hyacinthus,heat,X127_88_400_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274393,SRR1812300,adult,Acropora hyacinthus,control,X80_102_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274394,SRR1812301,adult,Acropora hyacinthus,control,X132_70_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274395,SRR1812302,adult,Acropora hyacinthus,control,X84_28_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274396,SRR1812303,adult,Acropora hyacinthus,control,X138_11_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274397,SRR1812304,adult,Acropora hyacinthus,control,X102_89_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274398,SRR1812305,adult,Acropora hyacinthus,control,X134_65_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274399,SRR1812306,adult,Acropora hyacinthus,control,X104_61_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274400,SRR1812307,adult,Acropora hyacinthus,control,X106_64_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274401,SRR1812308,adult,Acropora hyacinthus,control,X136_40_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274402,SRR1812309,adult,Acropora hyacinthus,heat,X92_102_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274403,SRR1812310,adult,Acropora hyacinthus,heat,X144_70_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274404,SRR1812311,adult,Acropora hyacinthus,heat,X96_28_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274405,SRR1812312,adult,Acropora hyacinthus,heat,X150_11_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274406,SRR1812313,adult,Acropora hyacinthus,heat,X116_89_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274407,SRR1812314,adult,Acropora hyacinthus,heat,X146_65_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274408,SRR1812315,adult,Acropora hyacinthus,heat,X118_61_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274409,SRR1812316,adult,Acropora hyacinthus,heat,X120_64_300_h_20h,none,yes,stressed
k1_Seneca2015_PRJNA274410,SRR1812317,adult,Acropora hyacinthus,heat,X148_40_300_h_20h,none,yes,stressed
l1_Lee2018_PRJNA384906,SRR5489014,adult,Acropora muricata,heat,Winter_33deg,none,?,stressed
l1_Lee2018_PRJNA384906,SRR5489015,adult,Acropora muricata,heat,Summer_33deg,none,?,stressed
l1_Lee2018_PRJNA384906,SRR5489018,adult,Acropora muricata,control,Winter_25deg,none,?,control
l1_Lee2018_PRJNA384906,SRR5489019,adult,Acropora muricata,control,Summer_25deg,none,?,control
l1_Lee2018_PRJNA384906,SRR5489020,adult,Acropora muricata,control,Winter_0h,none,?,control
l1_Lee2018_PRJNA384906,SRR5489021,adult,Acropora muricata,control,Summer_0h,none,?,control
m1_Philippines_PRJNA298449,SRR5223642,adult,Acropora digitifera,control,Adig adult 26C 24h pooled colonies,none,?,control
m1_Philippines_PRJNA298449,SRR5223644,adult,Acropora digitifera,control,Adig adult 26C 24h single colony,none,?,control
m1_Philippines_PRJNA298449,SRR5223647,adult,Acropora digitifera,heat,Adig adult 34C 4h single colony,none,?,stressed
m1_Philippines_PRJNA298449,SRR5223641,adult,Acropora digitifera,heat,Adig adult 31C 24h pooled colonies,none,?,stressed
m1_Philippines_PRJNA298449,SRR5223643,adult,Acropora digitifera,heat,Adig adult 31C 24h single colony,none,?,stressed
m1_Philippines_PRJNA298449,SRR5223645,adult,Acropora digitifera,heat,Adig adult 34C 4h pooled colonies,none,?,stressed
m1_Philippines_PRJNA298449,SRR5223646,adult,Acropora digitifera,control,Adig adult 26C 4h pooled colonies,none,?,control
m1_Philippines_PRJNA298449,SRR5223648,adult,Acropora digitifera,control,Adig adult 26C  4h single colony,none,?,control
n1_NIG_PRJDB6866,DRR169398,recruit,Acropora solitaryensis,control,Asoli_C_1,none,?,control
n1_NIG_PRJDB6866,DRR169399,recruit,Acropora solitaryensis,control,Asoli_C_2,none,?,control
n1_NIG_PRJDB6866,DRR169400,recruit,Acropora solitaryensis,heat,Asoli_C_st_1_1,none,?,stressed
n1_NIG_PRJDB6866,DRR169401,recruit,Acropora solitaryensis,heat,Asoli_C_st_1_2,none,?,stressed
n1_NIG_PRJDB6866,DRR169402,recruit,Acropora solitaryensis,heat,Asoli_C_st_2_1,none,?,stressed
n1_NIG_PRJDB6866,DRR169403,recruit,Acropora solitaryensis,heat,Asoli_C_st_2_2,none,?,stressed
n1_NIG_PRJDB6866,DRR169404,recruit,Acropora solitaryensis,control,Asoli_D_1,none,?,control
n1_NIG_PRJDB6866,DRR169405,recruit,Acropora solitaryensis,control,Asoli_D_2,none,?,control
n1_NIG_PRJDB6866,DRR169406,recruit,Acropora solitaryensis,heat,Asoli_D_st_1_1,none,?,stressed
n1_NIG_PRJDB6866,DRR169407,recruit,Acropora solitaryensis,heat,Asoli_D_st_1_2,none,?,stressed
n1_NIG_PRJDB6866,DRR169408,recruit,Acropora solitaryensis,heat,Asoli_D_st_2_1,none,?,stressed
n1_NIG_PRJDB6866,DRR169409,recruit,Acropora solitaryensis,heat,Asoli_D_st_2_2,none,?,stressed
